match,market,home_team,away_team,player_name,player_team,opposition_team,line,over_price,agency
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,David Warner,Delhi Capitals,Kolkata Knight Riders,0.5,1.17,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Prithvi Shaw,Delhi Capitals,Kolkata Knight Riders,0.5,1.17,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Mitchell Marsh,Delhi Capitals,Kolkata Knight Riders,0.5,1.25,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Rishabh Pant,Delhi Capitals,Kolkata Knight Riders,0.5,1.3,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Phil Salt,Kolkata Knight Riders,Delhi Capitals,0.5,1.2,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Shreyas Iyer,Kolkata Knight Riders,Delhi Capitals,0.5,1.22,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Venkatesh Iyer,Kolkata Knight Riders,Delhi Capitals,0.5,1.25,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Sunil Narine,Kolkata Knight Riders,Delhi Capitals,0.5,1.36,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,David Warner,Delhi Capitals,Kolkata Knight Riders,1.5,1.35,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Prithvi Shaw,Delhi Capitals,Kolkata Knight Riders,1.5,1.35,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Mitchell Marsh,Delhi Capitals,Kolkata Knight Riders,1.5,1.55,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Rishabh Pant,Delhi Capitals,Kolkata Knight Riders,1.5,1.6,TAB
Delhi Capitals v Kolkata Knight Riders,Number of 4s,Delhi Capitals,Kolkata Knight Riders,Phil Salt,Kolkata Knight Riders,Delhi Capitals,1.5,1.4,TAB
